heroes,images,powers,abilities,movieAppearances,trivia,Actor
The Red Skull,images/TheRedSkull.jpg,Artificially Enhanced Physiology/Enhanced Intelligence,Master Tactician/Expert Scientist,Captain America: The First Avenger/The Avengers (mentioned & flashbacks)/Captain America: The Winter Soldier (mentioned & video footage)/Avengers: Infinity War (unreleased),"""In the comics, Johann Shmidt was Adolf Hitler's right hand, second in command and personal assassin. Originally, he had no relationships with HYDRA, although he helped Baron Wolfgang von Strucker (the original HYDRA's director) to escape from Germany and to organize HYDRA in the Japanese-occupied territory in the final days of World War II.""/""This version of the Red Skull has more in common with Wolfgang von Strucker and Wilhelm Lohmer from the comics than the comic version of Johann Schmidt; he had a falling out with Hitler and founded the modern incarnation of HYDRA, much like von Strucker in the comics; also, he serves as the Axis foil to Captain America, as evident by his being enhanced by a variant of the Super-Soldier Serum, like Lohmer (also known as Master Man) in the comics.""/""The Red Skull is only referred to as such once in Captain America: The First Avenger, by Nazi officer Schneider who was in fact paraphrasing Hitler. All other times in the film, he is addressed or called by his original name, and his reaction to Schneider's remark suggests he is not fond of the new moniker. Curiously, in virtually all subsequent mentions (Captain America: The Winter Soldier, Agents of S.H.I.E.L.D., Agent Carter), he is called ""the Red Skull"", including by HYDRA subordinates, such as Werner Reinhardt.""",Hugo Weaving
Ultron,images/Ultron.jpg,Robotic Physiology/Hive Mind System,Genius-Level Intellect,"Avengers: Age of Ultron/Captain America: Civil War (mentioned)/Spider-Man: Homecoming (head, arm & mentioned)/Thor: Ragnarok (mentioned)","""In the comics, Ultron was traditionally created by Hank Pym; however, Joss Whedon has stated that in Avengers: Age of Ultron, Ultron's origin would be different, relating more to the current roster of Avengers already established in the Marvel Cinematic Universe.""/""In the comics, Ultron created Vision, Jocasta, Victor Mancha and Alkhema. All of them betrayed Ultron, in which Vision and Jocasta even joined the Avengers with Victor Mancha joining the Runaways respectively.""/""Ultron recites ""I've Got No Strings"", a song from Pinocchio, a Walt Disney film about an inanimate puppet who gains sentience; Ultron serves as a dark parallel of Pinocchio.""",James Spade
Virginia 'Pepper' Potts,images/VirginiaPotts.jpg,Exothermic Manipulation,Expert Businesswoman,Iron Man/Iron Man 2/The Avengers/Iron Man 3/Avengers: Age of Ultron (mentioned)/Captain America: Civil War (mentioned)/Spider-Man: Homecoming/Avengers: Infinity War (unreleased)/Avengers 4 (unreleased),"""In Iron Man 3, Potts, for a brief moment, dons the Iron Man Mark 42 suit by Tony Stark to save her from the explosion who in turn saves him from the falling debris. This is a reference to her comic book hero counterpart, Rescue.""/""The day Pepper had Christine Everhart leave was Potts' birthday.""/""Pepper is allergic to strawberries.""",Gwyneth Paltrow
Vision,images/Vision.jpg,Synthetic Body/Computer Interaction,Genius-Level Intellect/Skilled Combatant,Avengers: Age of Ultron/Captain America: Civil War/Spider-Man: Homecoming (mentioned)/Avengers: Infinity War (unreleased),"""In the comics, Vision was believed to have been created using the remains of the original Human Torch, though it was ultimately revealed to be a duplicate. He later married Scarlet Witch and had two sons, who were ultimately erased from existence, but were reincarnated as Wiccan and Speed. He also gave himself the name Victor Shade, when he felt depressed that he did not have a human name.""/""In the comics, Vision was created by Ultron to serve under his command and help him defeat the Avengers, rather than simply being Ultron's final form.""/""Vision has Van Gogh's The Mulberry Tree in his room at the New Avengers Facility.""",Paul Bettany
Whiplash,images/Whiplash.png,None,Expert Combatant/Master Engineer,Iron Man 2,"""The Ivan Vanko character is an combination of elements from Iron Man villains Whiplash and the Crimson Dynamo.""/""Although that he appears as Whiplash himself, this alias was never adopted or mentioned by him, or by any character in the film.""/""An alternative ending for Iron Man 2 showed Whiplash attacking Pepper Potts at the Stark Expo, but being killed by War Machine.""",Mickey Rourke
Tony Stark/Iron Man,images/TonyStark.jpg,Iron Man Suit,Genius-Level Intellect/Master Engineer,Iron Man/The Incredible Hulk (post-credits scene)/Iron Man 2/Thor (mentioned)/The Avengers/Iron Man 3/Captain America: The Winter Soldier (photo & mentioned)/Avengers: Age of Ultron/Ant-Man (mentioned)/Captain America: Civil War/Guardians of the Galaxy Vol. 2 (mentioned; deleted scene)/Spider-Man: Homecoming/Thor: Ragnarok (mentioned)/Avengers: Infinity War (unreleased)/Avengers 4 (unreleased),"""Tony Stark's official net worth stands on $12.4 billion.""/""In the comics, Tony Stark is a member of the Illuminati, a group made of the smartest and most powerful characters in the Marvel Universe, including Blackagar Boltagon, Stephen Strange, Bruce Banner, Medusa, Hank Pym and T'Challa.""/""Starting with the Mark IV (and expecting the Mark V), the armors no longer use Stark's Arc Reactor as a power source. Instead, the suits each have their own individual Arc Reactor as seen when Killian damaged the one powering the Silver Centurion armor and Stark's own Reactor remained unscathed.""","Robert Downey, Jr."
Steve Rogers/Captain America,images/SteveRogers.jpg,Artificially Enhanced Physiology,Master Martial Artist/Shield Mastery,Agents of S.H.I.E.L.D. (mentioned & figure)/Agent Carter (mentioned)/Daredevil (mentioned)/Jessica Jones (mentioned & figure)/Luke Cage (mentioned)/Runaways (figure),"""Due to the Super Soldier Serum, his metabolism burns four times faster than the average person. Therefore, he cannot get drunk.""",Chris Evans
Bruce Banner/Hulk,images/BruceBanner.jpg,Transformation,Genius-Level Intellect/Master Scientist,"The Incredible Hulk/Thor (mentioned)/The Avengers/Iron Man 3 (post-credits scene)/Captain America: The Winter Soldier (mentioned)/Avengers: Age of Ultron/Captain America: Civil War (surveillance footage & mentioned)/Spider-Man: Homecoming (photograph, drawing & mentioned)/Thor: Ragnarok/Avengers: Infinity War (unreleased)/Avengers 4 (unreleased)","""Banner appeared in the non-canon short film Team Thor, where he met Thor in a café and they discussed why the latter had not been invited to the Avengers Civil War.""",Mark Ruffalo/Edward Norton
Black Widow,images/BlackWidow.jpg,None,Master Spy/Peak Physical Condition,"Iron Man 2/The Avengers/Captain America: The Winter Soldier/Avengers: Age of Ultron/Captain America: Civil War/Spider-Man: Homecoming (mentioned, footage and drawing)/Thor: Ragnarok (mentioned & video footage)/Avengers: Infinity War (unreleased)/Avengers 4 (unreleased)","""In the comics, Black Widow is the product of a Soviet Super Soldier experiment, and has had relationships with both Bucky Barnes, Daredevil and Hawkeye which has been changed in the films to best friends.""/""Black Widow has had a different hairstyle in each of her film appearances so far, one per movie.""/""Black Widow shares her birthday with her actress, Scarlett Johansson.""",Scarlett Johansson
Hawkeye,images/Hawkeye.jpg,None,Master Marksman/Master Assassin,Thor/The Avengers/Avengers: Age of Ultron/Captain America: Civil War/Spider-Man: Homecoming (drawing)/Avengers: Infinity War (unreleased)/Avengers 4 (unreleased),"""In Captain America: The Winter Soldier, Black Widow wore a necklace with an arrow pendant as a symbol of her friendship with Hawkeye.""/""In the comics, Hawkeye is the ex-husband of Bobbi Morse, but in the Marvel Cinematic Universe that role is filled by Lance Hunter. Barton married a woman named Laura in the Ultimate comics.""/""Hawkeye shares his birthday with his actor, Jeremy Renner.""",Jeremy Renner
Thor,images/Thor.jpg,Asgardian Physiology/Magic Hammer,Master Combatant/Hammer Mastery,Thor/Captain America: The First Avenger (drawing)/The Avengers/Iron Man 3 (mentioned)/ Thor: The Dark World/Avengers: Age of Ultron/Captain America: Civil War (mentioned)/Doctor Strange (post-credits scene)/Spider-Man: Homecoming (drawing & mentioned)/Thor: Ragnarok/Avengers: Infinity War (unreleased)/Avengers 4 (unreleased),"""In the comics, Thor was the son of Odin and the primeval Earth goddess Gaea, not Frigga.""",
